time_ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
5720,242,24,55,159,166,0,0,0
5730,243,23,56,159,164,0,0,0
5740,244,22,57,160,163,0,0,0
5750,245,21,57,161,162,0,0,0
5760,245,20,58,162,161,0,0,0
5770,246,20,59,163,159,0,0,0
5780,247,19,59,163,158,0,0,0
5790,247,18,60,164,157,0,0,0
5800,248,17,60,165,156,0,0,0
5810,249,16,61,166,154,0,0,0
5820,249,15,62,166,153,0,0,0
5830,250,14,62,167,152,0,0,0
5840,250,14,63,168,150,0,0,0
5850,251,13,64,169,149,0,0,0
5860,251,12,64,169,148,0,0,0
5870,252,11,65,170,147,0,0,0
5880,252,10,66,171,145,0,0,0
5890,253,9,66,172,144,0,0,0
5900,253,8,67,172,143,0,0,0
5910,253,8,68,173,142,0,0,0
5920,254,7,68,174,140,0,0,0
5930,254,6,69,175,139,0,0,0
5940,254,5,70,175,138,0,0,0
5950,254,4,70,176,136,0,0,0
5960,255,3,71,177,135,0,0,0
5970,255,3,72,177,134,0,0,0
5980,255,2,73,178,133,0,0,0
5990,255,1,73,179,131,0,0,0
6000,255,1,74,180,130,0,0,0
6010,255,0,75,180,129,0,0,0
6020,255,1,75,181,128,0,0,0
6030,255,2,76,182,126,0,0,0
6040,255,3,77,182,125,0,0,0
6050,255,3,78,183,124,0,0,0
6060,255,4,78,184,122,0,0,0
6070,254,5,79,185,121,0,0,0
6080,254,6,80,185,120,0,0,0
6090,254,7,80,186,119,0,0,0
6100,254,8,81,187,117,0,0,0
6110,253,8,82,187,116,0,0,0
6120,253,9,83,188,115,0,0,0
6130,253,10,83,189,113,0,0,0
6140,252,11,84,189,112,0,0,0
6150,252,12,85,190,111,0,0,0
6160,251,13,86,191,110,0,0,0
6170,251,14,86,191,108,0,0,0
6180,250,14,87,192,107,0,0,0
6190,250,15,88,193,106,0,0,0
6200,249,16,89,193,105,0,0,0
6210,249,17,89,194,103,0,0,0
6220,248,18,90,195,102,0,0,0
6230,247,19,91,195,101,0,0,0
6240,247,20,92,196,99,0,0,0
6250,246,20,92,196,98,0,0,0
6260,245,21,93,197,97,0,0,0
6270,245,22,94,198,96,0,0,0
6280,244,23,95,198,94,0,0,0
6290,243,24,96,199,93,0,0,0
6300,242,25,96,200,92,0,0,0
6310,241,26,97,200,91,0,0,0
6320,240,26,98,201,89,0,0,0
6330,239,27,99,201,88,0,0,0
6340,238,28,100,202,87,0,0,0
6350,237,29,100,203,85,0,0,0
6360,236,30,101,203,84,0,0,0
6370,235,31,102,204,83,0,0,0
6380,234,31,103,205,82,0,0,0
6390,233,32,103,205,80,0,0,0
6400,232,33,104,206,79,0,0,0
6410,231,34,105,206,78,0,0,0
6420,229,35,106,207,76,0,0,0
6430,228,36,107,207,75,0,0,0
6440,227,37,108,208,74,0,0,0
6450,226,37,108,209,73,0,0,0
6460,224,38,109,209,71,0,0,0
6470,223,39,110,210,70,0,0,0
6480,222,40,111,210,69,0,0,0
6490,220,41,112,211,68,0,0,0
6500,219,42,112,211,66,0,0,0
6510,218,42,113,212,65,0,0,0
6520,216,43,114,213,64,0,0,0
6530,215,44,115,213,62,0,0,0
6540,213,45,116,214,61,0,0,0
6550,212,46,117,214,60,0,0,0
6560,210,47,118,215,59,0,0,0
6570,209,48,118,215,57,0,0,0
6580,207,48,119,216,56,0,0,0
6590,206,49,120,216,55,0,0,0
6600,204,50,121,217,54,0,0,0
6610,202,51,122,217,52,0,0,0
6620,201,52,123,218,51,0,0,0
6630,199,53,123,218,50,0,0,0
6640,198,54,124,219,48,0,0,0
6650,196,54,125,219,47,0,0,0
6660,194,55,126,220,46,0,0,0
6670,192,56,127,221,45,0,0,0
6680,191,57,128,221,43,0,0,0
6690,189,58,129,222,42,0,0,0
6700,187,59,130,222,41,0,0,0
6710,185,60,130,222,40,0,0,0
6720,184,60,131,223,38,0,0,0
6730,182,61,132,223,37,0,0,0
6740,180,62,133,224,36,0,0,0
6750,178,63,134,224,34,0,0,0
6760,176,64,135,225,33,0,0,0
6770,174,65,136,225,32,0,0,0
6780,173,65,137,226,31,0,0,0
6790,171,66,137,226,29,0,0,0
6800,169,67,138,227,28,0,0,0
6810,167,68,139,227,27,0,0,0
6820,165,69,140,228,26,0,0,0
6830,163,70,141,228,24,0,0,0
6840,161,71,142,229,23,0,0,0
6850,159,71,143,229,22,0,0,0
6860,157,72,144,229,20,0,0,0
6870,155,73,145,230,19,0,0,0
6880,153,74,146,230,18,0,0,0
6890,151,75,146,231,17,0,0,0
6900,149,76,147,231,15,0,0,0
6910,147,76,148,232,14,0,0,0
6920,145,77,149,232,13,0,0,0
6930,143,78,150,232,11,0,0,0
6940,141,79,151,233,10,0,0,0
6950,139,80,152,233,9,0,0,0
6960,138,81,153,234,8,0,0,0
6970,136,82,154,234,6,0,0,0
6980,134,82,155,234,5,0,0,0
6990,132,83,156,235,4,0,0,0
7000,130,84,156,235,3,0,0,0
7010,128,85,157,236,1,0,0,0
7020,125,86,158,236,1,0,0,0
7030,123,87,159,236,1,0,0,0
7040,121,88,160,237,1,0,0,0
7050,119,88,161,237,1,0,0,0
7060,117,89,162,237,1,0,0,0
7070,116,90,163,238,1,0,0,0
7080,114,91,164,238,1,0,0,0
7090,112,92,165,239,1,0,0,0
7100,110,93,166,239,1,0,0,0
7110,108,94,167,239,1,0,0,0
7120,106,94,168,240,1,0,0,0
7130,104,95,169,240,1,0,0,0
7140,102,96,170,240,1,0,0,0
7150,100,97,171,241,1,0,0,0
7160,98,98,171,241,1,0,0,0
7170,96,99,172,241,1,0,0,0
7180,94,99,173,242,1,0,0,0
7190,92,100,174,242,1,0,0,0
7200,90,101,175,242,1,0,0,0
7210,88,102,176,243,1,0,0,0
7220,86,103,177,243,1,0,0,0
7230,84,104,178,243,1,0,0,0
7240,82,105,179,243,1,0,0,0
7250,81,105,180,244,1,0,0,0
7260,79,106,181,244,1,0,0,0
